5-4KGLUC,-59.734
5-4KGLUC,-60.886
5-4KGLUC,-61.241
5-4KGLUC,-64.105
5-4KGLUC,-69.199
5-4KGLUC,-57.251
5-4KGLUC,-52.349
5-4KGLUC,-70.141
5-4KGLUC,-65.836
5-4KGLUC,-76.588
5-4KGLUC,-67.328
5-4KGLUC,-62.714
5-4KGLUC,-59.48
5-4KGLUC,-54.145
5-4KGLUC,-66.751
5-4KGLUC,-50.552
5-4KGLUC,-57.21
5-4KGLUC,-61.027
40KGLUC,-45.701
40KGLUC,-38.134
40KGLUC,-39.223
40KGLUC,-35.982
40KGLUC,-40.728
40KGLUC,-40.368
40KGLUC,-41.433
40KGLUC,-39.603
40KGLUC,-48.028
40KGLUC,-59.594
40KGLUC,-56.135
40KGLUC,-47.47
40KGLUC,-45.19
40KGLUC,-38.243
40KGLUC,-35.145
40KGLUC,n/a
40KGLUC,n/a
40KGLUC,n/a
100KGLUC,-15.594
100KGLUC,-23.982
100KGLUC,-12.153
100KGLUC,-21.277
100KGLUC,-20.028
100KGLUC,-15.345
100KGLUC,-37.089
100KGLUC,-32.249
100KGLUC,-30.349
100KGLUC,-22.683
100KGLUC,-24.244
100KGLUC,-25.748
100KGLUC,-20.274
100KGLUC,-25.396
100KGLUC,-20.843
100KGLUC,-9.457
100KGLUC,-9.32
100KGLUC,-21.42